# Emoji Keywords — emoji<TAB>kw1 kw2 kw3 ...
#
# Per-emoji search synonyms attached as invisible rofi metadata, alongside
# the cluster aliases in emoji-aliases.txt. Matched by the rofi filter,
# never displayed in the picker rows.
#
# Format
#   <emoji><TAB>keyword<SPACE>keyword<SPACE>...
#
# Notes
#   - Comments start with #. Blank lines ignored.
#   - The same emoji may be repeated; the handler merges all occurrences.
#   - Read by ~/.config/sway/scripts/emoji-modi-handler on every picker launch.
#
# The first 545 entries below were generated from
# /usr/share/oh-my-zsh/plugins/emoji/gemoji_db.json (CLDR aliases + tags,
# deduped against the description and stopwords). Manual additions to
# extend coverage and refine search are appended below the auto block.

# === Auto (gemoji-derived) ===
0️⃣	zero
🇦🇮	ai americas country
🇦🇱	al europe country
🇦🇲	am asia country
🇦🇴	ao africa country
🇦🇶	aq antarctica country
🇦🇷	ar americas country
🇦🇸	as oceania country
🇦🇹	at europe country
🇦🇺	au oceania country
🇦🇼	aw americas country
🇦🇽	ax europe country
🇦🇿	az asia country
🇧🇦	ba europe country
🇧🇧	bb americas country
🇧🇩	bd asia country
🇧🇪	be europe country
🇧🇫	bf africa country
🇧🇬	bg europe country
🇧🇭	bh asia country
🇧🇮	bi africa country
🇧🇯	bj africa country
🇧🇱	bl americas country
🇧🇲	bm americas country
🇧🇳	bn asia country
🇧🇴	bo americas country
🇧🇶	bq americas country
🇧🇷	br americas country
🇧🇸	bs americas country
🇧🇹	bt asia country
🇧🇻	bv antarctica country
🇧🇼	bw africa country
🇧🇾	by europe country
🇧🇿	bz americas country
🇨🇦	ca americas country
🇨🇨	cc oceania country
🇨🇩	cd africa country
🇨🇫	cf africa country
🇨🇬	cg africa country
🇨🇭	ch europe country
🇨🇮	ci africa country
🇨🇰	ck oceania country
🇨🇱	cl americas country
🇨🇲	cm africa country
🇨🇳	cn asia country
🇨🇴	co americas country
🇨🇵	cp oceania country
🇨🇶	cq europe country
🇨🇷	cr americas country
🇨🇺	cu americas country
🇨🇻	cv africa country
🇨🇼	cw americas country
🇨🇽	cx oceania country
🇨🇾	cy asia country
🇨🇿	cz europe country
🇩🇪	de europe country
🇩🇬	dg africa country
🇩🇯	dj africa country
🇩🇰	dk europe country
🇩🇲	dm americas country
🇩🇴	do americas country
🇩🇿	dz africa country
🇪🇦	ea africa country
🇪🇨	ec americas country
🇪🇪	ee europe country
🇪🇬	eg africa country
🇪🇭	eh africa country
🇪🇷	er africa country
🇪🇸	es europe country
🇪🇹	et africa country
🇪🇺	eu europe country
🇫🇮	fi europe country
🇫🇯	fj oceania country
🇫🇰	fk americas country
🇫🇲	fm oceania country
🇫🇴	fo europe country
🇫🇷	fr europe country
🇬🇦	ga africa country
🇬🇧	gb europe country
🇬🇩	gd americas country
🇬🇪	ge asia country
🇬🇫	gf americas country
🇬🇬	gg europe country
🇬🇭	gh africa country
🇬🇮	gi europe country
🇬🇱	gl americas country
🇬🇲	gm africa country
🇬🇳	gn africa country
🇬🇵	gp americas country
🇬🇶	gq africa country
🇬🇷	gr europe country
🇬🇸	gs antarctica country
🇬🇹	gt americas country
🇬🇺	gu oceania country
🇬🇼	gw africa country
🇬🇾	gy americas country
🇭🇰	hk asia country
🇭🇲	hm antarctica country
🇭🇳	hn americas country
🇭🇷	hr europe country
🇭🇹	ht americas country
🇭🇺	hu europe country
🇮🇨	ic africa country
🇮🇩	id asia country
🇮🇪	ie europe country
🇮🇱	il asia country
🇮🇲	im europe country
🇮🇳	in asia country
🇮🇴	io africa country
🇮🇶	iq asia country
🇮🇷	ir asia country
🇮🇸	is europe country
🇮🇹	it europe country
🇯🇪	je europe country
🇯🇲	jm americas country
🇯🇴	jo asia country
🇯🇵	jp asia country
🇰🇪	ke africa country
🇰🇬	kg asia country
🇰🇭	kh asia country
🇰🇮	ki oceania country
🇰🇲	km africa country
🇰🇳	kn americas country
🇰🇵	kp asia country
🇰🇷	kr asia country
🇰🇼	kw asia country
🇰🇾	ky americas country
🇰🇿	kz asia country
🇱🇦	la asia country
🇱🇧	lb asia country
🇱🇨	lc americas country
🇱🇮	li europe country
🇱🇰	lk asia country
🇱🇷	lr africa country
🇱🇸	ls africa country
🇱🇹	lt europe country
🇱🇺	lu europe country
🇱🇻	lv europe country
🇱🇾	ly africa country
🇲🇦	ma africa country
🇲🇨	mc europe country
🇲🇩	md europe country
🇲🇪	me europe country
🇲🇫	mf americas country
🇲🇬	mg africa country
🇲🇭	mh oceania country
🇲🇰	mk europe country
🇲🇱	ml africa country
🇲🇲	mm asia country
🇲🇳	mn asia country
🇲🇴	mo asia country
🇲🇵	mp oceania country
🇲🇶	mq americas country
🇲🇷	mr africa country
🇲🇸	ms americas country
🇲🇹	mt europe country
🇲🇺	mu africa country
🇲🇻	mv asia country
🇲🇼	mw africa country
🇲🇽	mx americas country
🇲🇾	my asia country
🇲🇿	mz africa country
🇳🇦	na africa country
🇳🇨	nc oceania country
🇳🇪	ne africa country
🇳🇫	nf oceania country
🇳🇬	ng africa country
🇳🇮	ni americas country
🇳🇱	nl europe country
🇳🇴	no europe country
🇳🇵	np asia country
🇳🇷	nr oceania country
🇳🇺	nu oceania country
🇳🇿	nz oceania country
🇴🇲	om asia country
🇵🇦	pa americas country
🇵🇪	pe americas country
🇵🇫	pf oceania country
🇵🇬	pg oceania country
🇵🇭	ph asia country
🇵🇰	pk asia country
🇵🇱	pl europe country
🇵🇲	pm americas country
🇵🇳	pn oceania country
🇵🇷	pr americas country
🇵🇸	ps asia country
🇵🇹	pt europe country
🇵🇼	pw oceania country
🇵🇾	py americas country
🇶🇦	qa asia country
🇷🇪	re africa country
🇷🇴	ro europe country
🇷🇸	rs europe country
🇷🇺	ru europe country
🇷🇼	rw africa country
🇸🇦	sa asia country
🇸🇧	sb oceania country
🇸🇨	sc africa country
🇸🇩	sd africa country
🇸🇪	se europe country
🇸🇬	sg asia country
🇸🇭	sh africa country
🇸🇮	si europe country
🇸🇯	sj europe country
🇸🇰	sk europe country
🇸🇱	sl africa country
🇸🇲	sm europe country
🇸🇳	sn africa country
🇸🇴	so africa country
🇸🇷	sr americas country
🇸🇸	ss africa country
🇸🇹	st africa country
🇸🇻	sv americas country
🇸🇽	sx americas country
🇸🇾	sy asia country
🇸🇿	sz africa country
🇹🇦	ta africa country
🇹🇨	tc americas country
🇹🇩	td africa country
🇹🇫	tf africa country
🇹🇬	tg africa country
🇹🇭	th asia country
🇹🇯	tj asia country
🇹🇰	tk oceania country
🇹🇱	tl asia country
🇹🇲	tm asia country
🇹🇳	tn africa country
🇹🇴	to oceania country
🇹🇷	tr asia country
🇹🇹	tt americas country
🇹🇻	tv oceania country
🇹🇼	tw asia country
🇹🇿	tz africa country
🇺🇦	ua europe country
🇺🇬	ug africa country
🇺🇲	um oceania country
🇺🇳	un global country
🇺🇸	us americas country
🇺🇾	uy americas country
🇺🇿	uz asia country
🇻🇦	va europe country
🇻🇨	vc americas country
🇻🇪	ve americas country
🇻🇬	vg americas country
🇻🇮	vi americas country
🇻🇳	vn asia country
🇻🇺	vu oceania country
🇼🇫	wf oceania country
🇼🇸	ws oceania country
🇽🇰	xk europe country
🇾🇪	ye asia country
🇾🇹	yt africa country
🇿🇦	za africa country
🇿🇲	zm africa country
🇿🇼	zw africa country

# --- Batch 9 cont: special non-ISO flags ---
🎌	japan celebration banners
🏳️	surrender peace truce
🏳️‍⚧️	trans pride lgbt
🏴	pirate anarchy mourning
🏴‍☠️	pirate skull crossbones
🏴󠁧󠁢󠁥󠁮󠁧󠁿	england britain stgeorge
🏴󠁧󠁢󠁳󠁣󠁴󠁿	scotland britain saltire
🏴󠁧󠁢󠁷󠁬󠁳󠁿	wales britain dragon

# --- Refinement: alert/warning/emergency emojis (audit pass) ---
⚠️	caution hazard attention
🚨	alarm urgent flashing
🚧	barrier roadwork blocked
❗	important attention urgent
❓	help wonder confused
🚸	school zone slow
🛑	octagonal red halt
🆘	help distress mayday
🔔	alert ring chime
📢	announce broadcast loud
📣	shout cheer rally
🚑	medical paramedic rescue
🚒	firefighter rescue red
🚓	cop police siren
🆗	approved fine ok
✅	done check approved
❌	wrong incorrect cancel

# --- Refinement: ordinal medals (first/second/third) ---
🥇	first winner champion
🥈	second runner-up
🥉	third

# --- Enrichment pass 2026-08-01: chunks 000, 001, 002, 003, 004, 005 ---
😀	sonrisa feliz alegre contento cheerful
😃	sonrisota emocionado entusiasmado excited alegría alegria
😄	felicidad risueño risueno encantado delighted jeje
😁	dientes teeth radiante sonriente jiji
😆	carcajada risa jaja risotada xd
😅	sudor nervioso awkward gotita apenado
🤣	muerto-de-risa jajaja lmao chistoso carcajada
😂	llorar-de-risa lágrimas lagrimas hilarante gracioso risa
🙂	pasivo-agresivo sarcasmo tranquilo educado leve
🙃	ironía ironia sarcasmo volteado de-cabeza silly
🫠	derretido calor pena bochorno heat
😉	guiño guino coqueteo complicidad ojo cheeky
😊	sonrojo tierno amable gracias sweet
😇	santo aureola inocencia bendición bendicion saint
🥰	enamorado cariño carino corazones adorar ternura
😍	me-encanta me-gusta flechado adoración adoracion amor
🤩	estrellas wow fan impresionado deslumbrado
😘	beso besito muack mua lanzar-beso
😗	beso silbar piquito boquita smooch
☺️	calma sereno agradable simpático simpatico bienestar
😚	beso ojos-cerrados mimos cariñoso carinoso dulce
😙	beso piquito silbido dulzura mua
🥲	lágrima lagrima emotivo nostalgia conmovido bittersweet orgullo
😋	delicioso sabroso rico antojo tasty
😛	lengua burla travieso bleh playful
😜	lengua guiño guino broma juguetón jugueton bromista
🤪	loco chiflado alocado goofy crazy
😝	lengua mofa burlón burlon cotorreo bromear
🤑	dinero billete lana varo codicia
🤗	abrazo abrazote consuelo bienvenida apapacho
🤭	risita chisme oops giggle secreto
🫢	sorpresa asombro gasp ay impacto
🫣	espiar asomarse miedo vergüenza verguenza cringe
🤫	silencio callar shh quiet cállate callate
🤔	pensar duda reflexión reflexion mmm barbilla
🫡	saludo militar respeto sí-señor si-senor entendido
🤐	cierre sellado boca-cerrada discreto secreto
🤨	ceja sospecha escéptico esceptico desconfianza suspicious
😐	indiferente poker-face incómodo incomodo apático apatico plano
😑	neutro serio aburrido deadpan sin-emoción sin-emocion
😶	callado mudo speechless sin-palabras quieto
🫥	invisible desaparecer ausente ignorado punteado
😶‍🌫️	niebla despistado perdido confundido mente-en-blanco
😏	picardía picardia coqueto presumido malicia sonrisa-ladeada
😒	fastidio molesto annoyed hastío hastio desaprobación desaprobacion
🙄	ojos-en-blanco exasperación exasperacion desprecio obvio hartazgo
😬	mueca dientes nervios tensión tension ups
😮‍💨	suspiro desahogo soplar uf respirar
🤥	mentira pinocho nariz falso engaño engano
🫨	temblor sacudida vibrar susto terremoto
🙂‍↔️	negar nel nope rechazo desacuerdo
🙂‍↕️	asentir sí si claro nod aprobación aprobacion simón simon
😌	alivio paz tranquilidad satisfecho zen
😔	triste decepción decepcion melancolía melancolia cabizbajo down
😪	sueño sueno cansado desvelado bostezo drowsy
🤤	baba babear hambre gula ansia
😴	dormir siesta descanso nap roncar
🫩	ojeras cansancio desvelo agotado insomnio tired
😷	cubrebocas tapabocas enfermo gripa covid contagio
🤒	fiebre calentura temperatura enfermo fever
🤕	vendaje herido golpe accidente injured
🤢	asco guácala guacala mareado queasy repugnante
🤮	puke barf asco guacarear náusea nausea throw-up
🤧	gripa estornudo resfriado alergia flu tissue
🥵	calor sudor bochorno sofocado overheated
🥶	frío frio congelado helado freezing tiritando
🥴	borracho mareado drunk tipsy crudo
😵	noqueado desmayado muerto ko fainted
😵‍💫	mareado aturdido confundido woozy vueltas
🤯	mindblown cabeza asombro boom increíble increible
🤠	vaquero sombrero norteño norteno charro country
🥳	fiesta pachanga cumpleaños cumpleanos confeti birthday
🥸	disfraz bigote incógnito incognito lentes undercover
😎	lentes chido gafas swag relajado
🤓	ñoño nono estudioso lentes friki bookworm
🧐	monóculo monoculo sospecha detective curioso suspicious
😕	duda confundido indeciso no-entiendo huh
🫤	meh mueca incómodo incomodo awkward ni-modo
😟	preocupado angustia inquieto concerned ansiedad
🙁	triste ceño ceno descontento desanimado bummed
☹️	triste ceño ceno amargado bajón bajon gloomy
😮	asombro boquiabierto sorpresa omg oh
😯	silencio callado shh mudo quiet
😲	asombrado boquiabierto impactado increíble increible wow
😳	sonrojado pena rubor vergüenza verguenza awkward
🫪	deformado glitch cursed raro warped
🥺	porfa ojitos súplica suplica please puppy-eyes
🥹	emocionado conmovido lágrimas lagrimas orgullo touched
😦	asombro preocupado ceño ceno boquiabierto whoa
😧	angustia pánico panico horror sufrimiento distress
😨	miedo susto temor terror frightened
😰	ansiedad sudor estrés estres angustia panic
😥	alivio triste suspiro resignado sigh
😢	llorar llanto lágrima lagrima triste weep
😭	llorar chillar berrinche sollozo tears
😱	grito pánico panico susto miedo scared
😖	dolor frustración frustracion agobiado harto overwhelmed
😣	aguantar esfuerzo soportar dolor enduring
😞	decepción decepcion desilusión desilusion cabizbajo bajón bajon letdown
😓	sudor derrotado abatido esfuerzo defeated
😩	cansado harto fastidio agobio fed-up
😫	cansado agotado fatiga desvelado exhausted
🥱	bostezo sueño sueno aburrido flojera sleepy
😤	enojo bufido frustrado determinado huff
😡	enojado furia coraje rojo mad
😠	enojado enfadado irritado ceño ceno grumpy
🤬	groserías groserias palabrotas censura insultos cursing
😈	diablo travieso pícaro picaro maldad naughty
👿	diablo demonio furioso cuernos wicked
💀	calavera muerte muerto-de-risa catrina cringe
☠️	calavera veneno pirata tóxico toxico hazard
💩	caca popó popo mierda excremento turd
🤡	payaso bufón bufon ridículo ridiculo circo prank
👹	oni demonio máscara mascara colmillos fangs
👺	tengu duende máscara mascara nariz-larga folklore
👻	fantasma espíritu espiritu susto boo ghosting
👽	extraterrestre marciano ovni espacio et
👾	marcianito videojuego arcade pixel 8bit
🤖	autómata automata máquina maquina chatbot mecánico mecanico ia
😺	gato michi felino sonrisa kitty
😸	gato michi felino sonrisa gatito contento
😹	gato risa carcajada michi lol gracioso
😻	gato enamorado michi amor flechado encanta
😼	gato michi travieso picardía picardia sonrisita malicioso
😽	gato michi besito muack cariño carino labios
🙀	gato michi susto asustado sorpresa grito
😿	gato michi llorando triste lágrima lagrima pena
😾	gato michi enojado molesto berrinche gruñón grunon
🙈	mono chango vergüenza verguenza pena tapar-ojos oops
🙉	mono chango oídos oidos sordo ignorar tapar-oídos tapar-oidos
🙊	mono chango boca callar secreto shh
💌	carta sobre amor mensaje romántico romantico enamorada
💘	flecha corazón corazon flechazo amor enamorarse san-valentín san-valentin
💝	corazón corazon regalo moño mono listón liston caja san-valentín san-valentin
💖	corazón corazon brillante destellos amor ilusión ilusion resplandor
💗	corazón corazon latido creciendo emoción emocion amor cariño carino
💓	corazón corazon latir pulso enamorado nervios amor
💞	corazones amor pareja girando enamorados dos
💕	corazones pareja novios amor cariño carino
💟	corazón corazon morado cuadrito amor adorno
❣️	corazón corazon admiración admiracion signo amor énfasis enfasis puntuación puntuacion
💔	corazón corazon roto desamor tristeza dolido partido
❤️‍🔥	corazón corazon fuego llamas ardiente amor deseo
❤️‍🩹	corazón corazon curita vendaje sanando ánimo animo mejórate mejorate
❤️	corazón corazon rojo amor cariño carino te-quiero like
🩷	corazón corazon rosa rosado amor ternura dulce
🧡	corazón corazon naranja amor amistad cálido calido otoño otono
💛	corazón corazon amarillo amistad sol alegría alegria
💚	corazón corazon verde ecología ecologia planta celos amor
💙	corazón corazon azul amistad lealtad mar
🩵	corazón corazon celeste cielo azul-claro turquesa amor
💜	corazón corazon morado violeta lila amor
🤎	corazón corazon café cafe marrón marron chocolate tierra amor
🖤	corazón corazon negro luto oscuro amor
🩶	corazón corazon gris plata neutral ceniza amor
🤍	corazón corazon blanco pureza boda paz amor
💋	beso labios labial muack boca
💯	cien calificación calificacion excelente aprobado total
💢	enojo coraje vena molesto furia berrinche
🫯	pelea nube golpes bronca riña rina brawl
💥	explosión explosion choque bang estallido impacto pum
💫	mareado estrella chispa vueltas destello
💦	sudor gotas agua salpicar ejercicio
💨	humo viento correr rápido rapido huir escapar
🕳️	hoyo agujero hueco pozo caer
💬	mensaje chat globo hablar plática platica sms
👁️‍🗨️	ojo globo testigo mirar vigilar
🗨️	globo mensaje bocadillo izquierda comentario
🗯️	globo enojo gritar coraje regaño regano
💭	pensamiento nube idea imaginar globo soñar sonar
💤	dormir sueño sueno ronquido siesta cansado
👋	adiós adios hola saludo mano despedida
🤚	mano dorso alto espera nudillos
🖐️	mano cinco dedos abierta saludo
✋	mano alto palma permiso participar
🖖	mano saludo startrek dedos larga-vida
🫱	mano derecha ofrecer apretón apreton dar
🫲	mano izquierda ofrecer apretón apreton recibir
🫳	mano abajo bajar calma acariciar
🫴	mano arriba ofrecer dame pedir sostener
🫷	empujar detente izquierda stop palma
🫸	empujar detente derecha stop palma
👌	okey correcto vale de-acuerdo listo
🤌	italiano mano gesto chef-kiss pellizco
🤏	poquito tantito pequeño pequeno tiny small
✌️	paz dos deuces hippie ganar
🤞	suerte ojalá ojala deseo espero superstición supersticion
🫰	corazón-coreano corazon-coreano finger-heart kpop amor dinero
🤟	ily te-quiero señas senas asl cariño carino
🤘	rock cuernos rocanrol concierto heavy
🤙	llámame llamame teléfono telefono surf aloha marcar
👈	izquierda señalar senalar dedo apuntar
👉	derecha señalar senalar dedo apuntar
👆	arriba señalar senalar dedo above apuntar
🖕	mentada grosería groseria insulto flip-off rude
👇	abajo señalar senalar dedo below apuntar
☝️	arriba uno dedo atención atencion señalar senalar
🫵	tú tu you acusar señalar senalar dedo
👍	pulgar like me-gusta dale va
👎	pulgar dislike no-me-gusta rechazar malo
✊	puño puno lucha resistencia fuerza solidaridad
👊	puño puno chócalas chocalas fist-bump golpe saludo
🤛	puño puno izquierda choque bump golpe
🤜	puño puno derecha choque bump golpe
👏	aplausos palmas bravo felicidades ovación ovacion
🙌	manos-arriba celebrar alabanza yay festejo
🫶	corazón corazon amor cariño carino love gracias
👐	abrazo abierto recibir jazz-hands acoger
🤲	dua rezar pedir súplica suplica ofrecer
🤝	apretón apreton saludo acuerdo trato negocio
🙏	gracias porfa orar namaste bendición bendicion
✍️	escribir firmar nota lápiz lapiz redactar
💅	uñas unas esmalte sass salón salon pintar
🤳	autofoto celular cámara camara pose instagram
💪	fuerza gimnasio gym brazo ánimo animo
🦾	prótesis protesis brazo robot biónico bionico cyborg
🦿	prótesis protesis pierna robot biónico bionico cyborg
🦵	pierna patada rodilla muslo kick
🦶	pie pisar talón talon descalzo huella
👂	oreja oído oido escuchar audición audicion
🦻	audífono audifono sordera oreja accesibilidad deaf
👃	nariz olfato oler aroma respirar
🧠	cerebro mente pensar inteligencia neuronas
🫀	corazón corazon órgano organo cardio latido pulso
🫁	pulmones respirar aire oxígeno oxigeno órgano organo
🦷	diente muela dentista caries odontología odontologia
🦴	hueso esqueleto perro fractura radiografía radiografia
👀	ojos mirar chismear espiar atento
👁️	ojo mirada pupila vigilar ver
👅	lengua burla sabor lamer saborear
👄	boca labios beso hablar sensual
🫦	labio morder nervios coqueto sexy
👶	bebé bebe pañal panal nene infante chiquito
🧒	niño nino chamaco kid menor infantil
👦	niño nino chamaco chavo muchacho varón varon
👧	niña nina chamaca chava muchacha nena
👨	hombre señor senor varón varon adulto masculino
🧔‍♂️	barba hombre barbón barbon hipster vello
👨‍🦰	pelirrojo cabello ginger hombre rojizo
👨‍🦱	rizado rizos cabello chino hombre
👨‍🦳	canoso canas señor senor grey elderly hombre
👨‍🦲	calvo pelón pelon rapado hombre calvicie
👱‍♂️	rubio güero guero hombre chavo
👴	abuelo anciano viejito grandpa señor senor
🙍‍♂️	triste desanimado ceño ceno disappointed bummed
🙎‍♂️	puchero berrinche enojado mohín mohin huffy
🙅‍♂️	nel prohibido nope cancelado negativa
🙆‍♂️	correcto sale bien listo perfecto
💁‍♂️	recepcionista obvio ayuda duh pues
🙋‍♂️	presente yo pregunta participar aquí aqui
🧏‍♂️	sordo señas senas lsm sign-language hombre
🙇‍♂️	reverencia disculpa perdón perdon dogeza gracias
🤦‍♂️	vergüenza-ajena verguenza-ajena cringe no-manches decepción decepcion exasperado
🤷‍♂️	ni-idea quién-sabe quien-sabe whatever me-vale hombros
🧑‍⚕️	médico medico enfermero bata hospital consulta
👨‍⚕️	médico medico enfermero bata hospital hombre
🧑‍🎓	estudiante egresado birrete titulación titulacion diploma
👨‍🎓	estudiante egresado birrete universitario titulado
🧑‍🏫	maestro profe docente pizarrón pizarron clase
👨‍🏫	maestro profe docente pizarrón pizarron catedrático catedratico
🧑‍⚖️	juez juzgado justicia magistrado toga
👨‍⚖️	juez martillo justicia toga hombre
🧑‍🌾	campesino agricultor granjero cosecha campo
👨‍🌾	campesino agricultor granjero cosecha ranchero
🧑‍🍳	cocinero gorro guisar restaurante comida
👨‍🍳	cocinero gorro cocina restaurante guisar
🧑‍🔧	mecánico mecanico llave taller refacciones mantenimiento
👨‍🔧	mecánico mecanico llave taller garage refacciones
🧑‍🏭	obrero fábrica fabrica maquila planta ensamble
👨‍🏭	obrero fábrica fabrica maquila planta operario
🧑‍💼	oficinista empleado ejecutivo traje chamba
👨‍💼	oficinista empleado ejecutivo traje corbata
🧑‍🔬	científico cientifico química quimica microscopio bata probeta
👨‍🔬	científico cientifico laboratorio química quimica microscopio bata
🧑‍💻	programador laptop código codigo dev informática informatica
👨‍💻	programador laptop código codigo dev computadora
🧑‍🎤	cantante cantar concierto karaoke música musica
👨‍🎤	cantante micrófono microfono concierto karaoke música musica
🧑‍🎨	pintor arte pincel cuadro dibujar
👨‍🎨	pintor paleta pincel arte dibujar
🧑‍✈️	piloto avión avion capitán capitan aeropuerto tripulación tripulacion
👨‍✈️	piloto avión avion capitán capitan aerolínea aerolinea aeropuerto
🧑‍🚀	astronauta cosmonauta cohete casco órbita orbita
👨‍🚀	astronauta cohete nasa casco luna
🧑‍🚒	bombero incendio fuego casco extintor
👨‍🚒	bombero incendio fuego casco rescate
👮	policía policia patrulla poli uniforme agente
👮‍♂️	policía policia patrulla poli uniforme gorra
🕵️	espía espia lupa sabueso incógnito incognito gabardina
🕵️‍♂️	espía espia lupa investigador misterio pista
💂	guardia británico britanico londres palacio uniforme
💂‍♂️	guardia británico britanico londres palacio realeza
🥷	sigilo shinobi katana japón japon encapuchado
👷	albañil albanil obra casco chaleco maestro-de-obra
👷‍♂️	albañil albanil obra casco chalán chalan chaleco
🤴	príncipe principe realeza heredero monarquía monarquia corona
👸	princesa realeza tiara monarquía monarquia corona
👳‍♂️	turbante india hombre tocado sij
🤵‍♂️	esmoquin novio boda elegante moño mono
👰‍♀️	novia velo casarse vestido boda
🤰	embarazada panza maternidad baby-bump embarazo
🤱	amamantar lactancia bebé bebe nursing pecho
👩‍🍼	mamá mama biberón biberon mamila bottle alimentar
👼	angelito alitas halo wings inocencia
🎅	navidad papá-noel papa-noel regalos xmas barba
🤶	navidad christmas mamá-noel mama-noel gorro esposa
🧑‍🎄	navidad noel nochebuena regalos xmas
🦸	superhéroe superheroe héroe heroe capa poderes cómic comic
🦸‍♂️	superhéroe superheroe capa poderes hombre cómic comic
🦹	supervillano villano malvado antagonista evil capa
🦹‍♂️	supervillano villano malo maldad hombre
🧙	mago hechicero wizard varita sombrero
🧙‍♂️	mago hechicero wizard brujo conjuro
🧚	hada alas tinkerbell cuento polvo-mágico polvo-magico
🧚‍♂️	hada alas mágico magico cuento duendecillo
🧚‍♀️	hada alas madrina cuento fantasía fantasia
🧛	vampiro drácula dracula colmillos fangs halloween
🧛‍♂️	vampiro drácula dracula colmillos conde fangs
🧛‍♀️	vampira colmillos drácula dracula mordida fangs
🧜‍♀️	sirena cola-de-pez océano oceano ariel mar
🧝	elfo duende fantasía fantasia orejas bosque
🧝‍♂️	elfo duende fantasía fantasia orejas mágico magico
🧝‍♀️	elfa duende fantasía fantasia orejas mágica magica
🧞	genio lámpara lampara deseos aladino wish
🧟	zombi muerto-viviente undead halloween apocalipsis
🧟‍♂️	zombi undead muerto-viviente halloween cadáver cadaver
🧟‍♀️	zombi undead muerta-viviente halloween terror
🧌	trol ogro monstruo trolear criatura
🫈	bigfoot sasquatch yeti peludo pie-grande
💆‍♂️	masaje sobada consentido relajación relajacion wellness
💇‍♂️	corte peluquería peluqueria tijeras cabello rapado
🚶‍♂️	caminar peatón peaton andar paseo caminata
🚶‍♂️‍➡️	caminar derecha peatón peaton avanzar adelante
🧍‍♂️	parado de-pie quieto formado esperar idle
🧎‍♂️	arrodillado rodillas rezar súplica suplica perdón perdon
🧎‍♂️‍➡️	arrodillado rodillas súplica suplica derecha humildad
👨‍🦯	bastón baston ciego invidente accesibilidad blind
👨‍🦯‍➡️	bastón baston invidente ciego derecha accesibilidad
👨‍🦼	silla-de-ruedas eléctrica electrica discapacidad movilidad accesibilidad
👨‍🦼‍➡️	silla-de-ruedas eléctrica electrica discapacidad derecha movilidad
👨‍🦽	silla-de-ruedas discapacidad movilidad accesibilidad ruedas
👨‍🦽‍➡️	silla-de-ruedas discapacidad derecha movilidad accesibilidad
🏃‍♂️	correr corredor carrera trotar prisa
🏃‍♂️‍➡️	correr carrera prisa adelante huir
🧑‍🩰	bailarín bailarin danza tutú tutu puntas escenario
🕺	bailar baile fiesta disco travolta
👯‍♂️	gemelos conejo orejas dueto antro
👯‍♀️	gemelas conejo orejas amigas antro
🧖‍♂️	sauna spa toalla baño-turco bano-turco vapor
🧗‍♂️	escalar roca montaña montana alpinismo boulder
🏇	caballo carrera hípica hipica galope montar
⛷️	esquí esqui nieve invierno montaña montana bastones
🏂	snowboard tabla nieve invierno montaña montana
🏌️‍♂️	palo hoyo campo putt birdie
🏄‍♂️	surf tabla ola playa surfista
🚣‍♂️	remar remo bote canoa remero
🏊‍♂️	nadar natación natacion alberca brazada crol
⛹️‍♂️	botar balón balon dribble básquet basquet cancha
🏋️‍♂️	pesas mancuerna fuerza entrenar buff
🚴‍♂️	bici bicicleta ciclista pedalear rodada

# --- Enrichment pass 2026-08-01: chunks 006, 007, 008, 009, 010, 011 ---
🚵‍♂️	bici ciclista mtb montaña montana downhill
🤸‍♂️	maroma voltereta acrobacia pirueta tumbling
🤼‍♂️	lucha luchadores wwe forcejeo pelea
🤽‍♂️	waterpolo alberca natación natacion nadador acuático acuatico
🤾‍♂️	balonmano pelota lanzar throw jugador
🤹‍♂️	malabares malabarista pelotas multitask destreza
🧘‍♂️	yoga meditar zen calma mindfulness relajación relajacion
👬	amigos pareja gay compas amistad
💏	beso besar romance smooch cariño carino
👩‍❤️‍💋‍👨	beso novios hetero pareja enamorados
💑	pareja novios enamorados corazón corazon relación relacion
👩‍❤️‍👨	pareja novios enamorados corazón corazon noviazgo
👨‍👩‍👦	familia papás papas hijo nuclear varón varon
👨‍👩‍👧	familia papás papas hija nena nuclear
👨‍👩‍👧‍👦	familia papás papas parejita hermanos cuatro
👨‍👩‍👦‍👦	familia papás papas gemelos hermanos varones
👨‍👩‍👧‍👧	familia papás papas gemelas hermanas nenas
👨‍👦	paternidad papá-soltero papa-soltero monoparental familia varón varon
👨‍👦‍👦	paternidad hermanos gemelos monoparental familia
👨‍👧	paternidad hija nena monoparental familia
👨‍👧‍👦	paternidad parejita hermanos monoparental familia
👨‍👧‍👧	paternidad hermanas gemelas monoparental familia
👩‍👦	maternidad mamá mama hijo monoparental familia
👩‍👦‍👦	maternidad mamá mama gemelos hermanos familia
👩‍👧	maternidad mamá mama hija nena familia
👩‍👧‍👦	maternidad mamá mama parejita hermanos familia
👩‍👧‍👧	maternidad mamá mama gemelas hermanas familia
🗣️	hablar anuncio vocero conversar comunicar
👤	persona perfil avatar usuario anónimo anonimo
👥	personas contactos grupo equipo comunidad
👪	familia papás papas hijos hogar convivencia
🧑‍🧑‍🧒	familia adultos hijo tutores neutral
